id,date,temperature_C,humidity_percent,air_quality_index,occupant_count,system_age,noise_level_db,light_efficiency,light_level_lux,comfort_rating
1,01-01-2019,20.8,60.1,64,4,0.083333333,53,0.9975,303,3
2,02-01-2019,20,52.3,66,4,0.083333333,49,0.9975,304,3
3,03-01-2019,21.3,64.7,65,4,0.083333333,49,0.9975,305,3
4,04-01-2019,22.8,57,52,5,0.083333333,38,0.9975,306,4
5,05-01-2019,20.3,57.5,62,5,0.083333333,55,0.9975,307,3
6,06-01-2019,20.4,60.8,64,3,0.083333333,42,0.9975,308,3
7,07-01-2019,23.3,58.2,60,3,0.083333333,44,0.9975,309,4
8,08-01-2019,22.2,61.7,40,4,0.083333333,41,0.9975,310,4
9,09-01-2019,20.5,58.2,62,4,0.083333333,59,0.9975,311,3
10,10-01-2019,22.1,53.5,82,3,0.083333333,46,0.9975,312,3
11,11-01-2019,20.8,58.2,57,4,0.083333333,41,0.9975,313,3
12,12-01-2019,20.9,50.5,53,4,0.083333333,49,0.9975,315,4
13,13-01-2019,22.1,56.6,64,3,0.083333333,49,0.9975,316,3
14,14-01-2019,19,55.7,64,4,0.083333333,44,0.9975,317,3
15,15-01-2019,19.4,54.7,73,2,0.083333333,49,0.9975,319,3
16,16-01-2019,21.3,54.9,48,5,0.083333333,41,0.9975,320,4
17,17-01-2019,20.8,45.9,68,2,0.083333333,43,0.9975,322,4
18,18-01-2019,22.9,52.4,67,3,0.083333333,35,0.9975,324,4
19,19-01-2019,21.2,55.4,60,2,0.083333333,38,0.9975,325,4
20,20-01-2019,20.6,55.6,65,2,0.083333333,54,0.9975,327,3
21,21-01-2019,25.1,49.4,72,3,0.083333333,53,0.9975,329,4
22,22-01-2019,22.7,60.7,70,2,0.083333333,45,0.9975,331,3
23,23-01-2019,23.2,49.8,50,2,0.083333333,53,0.9975,333,4
24,24-01-2019,21.1,58.8,70,4,0.083333333,44,0.9975,334,3
25,25-01-2019,22.6,55.9,61,3,0.083333333,44,0.9975,336,3
26,26-01-2019,23.7,50.3,63,3,0.083333333,45,0.9975,338,4
27,27-01-2019,22,62.2,63,2,0.083333333,44,0.9975,341,3
28,28-01-2019,24.4,47.2,61,4,0.083333333,44,0.9975,343,4
29,29-01-2019,23,57.5,75,3,0.083333333,51,0.9975,345,3
30,30-01-2019,23.6,57.7,62,2,0.083333333,46,0.9975,347,3
31,31-01-2019,23.3,49.1,52,2,0.083333333,49,0.9975,349,4
32,01-02-2019,27.1,59.2,59,2,0.166666667,50,0.995,350,4
33,02-02-2019,24.5,50.8,65,2,0.166666667,47,0.995,353,4
34,03-02-2019,23,53.2,76,3,0.166666667,40,0.995,355,3
35,04-02-2019,26,52.9,70,2,0.166666667,38,0.995,358,4
36,05-02-2019,23,50.6,55,4,0.166666667,46,0.995,360,4
37,06-02-2019,25.3,55.1,89,2,0.166666667,44,0.995,363,3
38,07-02-2019,22.2,54.8,67,2,0.166666667,46,0.995,365,3
39,08-02-2019,23.3,41.9,77,4,0.166666667,45,0.995,368,4
40,09-02-2019,25.7,56.9,63,5,0.166666667,58,0.995,370,3
41,10-02-2019,26.6,41.8,70,2,0.166666667,38,0.995,373,4
42,11-02-2019,25.9,55,74,4,0.166666667,35,0.995,376,4
43,12-02-2019,25.6,55.3,78,3,0.166666667,47,0.995,379,3
44,13-02-2019,25.4,43.9,76,3,0.166666667,43,0.995,381,4
45,14-02-2019,23.8,47.1,75,4,0.166666667,47,0.995,384,4
46,15-02-2019,25.1,43.4,63,3,0.166666667,48,0.995,387,4
47,16-02-2019,25.6,47.6,61,3,0.166666667,52,0.995,390,4
48,17-02-2019,28,46.9,70,2,0.166666667,38,0.995,393,4
49,18-02-2019,27,52,76,2,0.166666667,42,0.995,396,4
50,19-02-2019,24,54.4,65,2,0.166666667,47,0.995,399,3
51,20-02-2019,27.2,54.6,78,1,0.166666667,49,0.995,402,4
52,21-02-2019,26.3,44.6,82,3,0.166666667,56,0.995,405,4
53,22-02-2019,25.9,46.1,59,3,0.166666667,50,0.995,408,4
54,23-02-2019,28,38.4,60,1,0.166666667,45,0.995,411,4
55,24-02-2019,28.7,42.6,67,2,0.166666667,41,0.995,414,4
56,25-02-2019,28.7,51.2,72,5,0.166666667,42,0.995,417,4
57,26-02-2019,26.1,54.2,64,2,0.166666667,42,0.995,420,4
58,27-02-2019,27,39.7,83,2,0.166666667,48,0.995,424,4
59,28-02-2019,28.1,42.6,74,2,0.166666667,46,0.995,427,4
60,01-03-2019,29.1,45.2,71,1,0.25,39,0.9925,429,4
61,02-03-2019,27.1,46.5,56,1,0.25,43,0.9925,432,4
62,03-03-2019,27.6,40.8,58,2,0.25,50,0.9925,435,4
63,04-03-2019,26.3,46.7,74,1,0.25,47,0.9925,439,4
64,05-03-2019,26.3,41.9,50,2,0.25,48,0.9925,442,4
65,06-03-2019,29.4,44,82,2,0.25,47,0.9925,445,4
66,07-03-2019,30.3,46.5,70,3,0.25,53,0.9925,449,4
67,08-03-2019,28.2,43.5,105,2,0.25,46,0.9925,452,4
68,09-03-2019,29.9,41.1,96,2,0.25,43,0.9925,455,4
69,10-03-2019,29,42.5,71,1,0.25,41,0.9925,459,4
70,11-03-2019,27.6,42.3,72,3,0.25,46,0.9925,462,4
71,12-03-2019,29.2,40.6,84,1,0.25,35,0.9925,465,4
72,13-03-2019,31.1,40.9,91,1,0.25,44,0.9925,469,4
73,14-03-2019,28.8,50,58,3,0.25,44,0.9925,472,4
74,15-03-2019,31.2,44.5,57,1,0.25,38,0.9925,476,5
75,16-03-2019,25,40,69,3,0.25,41,0.9925,479,4
76,17-03-2019,30.3,44.7,81,1,0.25,49,0.9925,482,4
77,18-03-2019,29.2,39.3,81,2,0.25,46,0.9925,486,4
78,19-03-2019,28.7,46.6,87,1,0.25,46,0.9925,489,4
79,20-03-2019,29.4,42.3,64,3,0.25,47,0.9925,493,4
80,21-03-2019,26.3,39.7,53,1,0.25,46,0.9925,496,4
81,22-03-2019,29,42.2,85,1,0.25,51,0.9925,500,4
82,23-03-2019,30,31.9,69,1,0.25,46,0.9925,503,5
83,24-03-2019,31.7,33.9,57,2,0.25,38,0.9925,507,5
84,25-03-2019,28.8,33.3,79,3,0.25,53,0.9925,510,4
